key,text
gaze:restore,"擦亮的表面映出你自己的脸...归还，还是留下？"
gaze:restore,"物品恢复了原本的光彩。它的主人，还会回来吗？"
gaze:restore,"修复完成的瞬间，寂静的店铺里只剩下你和这件重获新生的旧物。"
gaze:restore,"指尖残留着修复的温度。你想起了它被送进来时主人的表情。"
gaze:restore,"灯光下，修好的裂痕几乎看不出来。但你知道它在那里——就像某些记忆。"
gaze:reforge,"崭新的铭文取代了旧日的痕迹...有人会相信这个故事吗？"
gaze:reforge,"它看起来比任何真品都更像真品。这，或许就是问题所在。"
gaze:reforge,"你凝视着自己的杰作。它的前世已经消失了——取而代之的，是一个精心编织的谎言。"
gaze:reforge,"桌上的灯忽明忽暗。你分不清那是手在抖，还是心在抖。"
gaze:reforge,"完成了。一件全新的"古董"诞生了。你闭上眼，试着忘记它原来的样子。"
narrative:restore:all:action,"你准备了全套工具，开始对{item_name}进行彻底的翻新修复..."
narrative:restore:all:result,"所有瑕疵被一一清除，物品焕然一新。"
narrative:restore:BROKEN:ARTISTIC:action,"你以审慎的目光审视{item_name}的裂纹，开始艺术修复..."
narrative:restore:BROKEN:ARTISTIC:result,"经过细致的艺术修复，物品重新焕发美感。"
narrative:restore:BROKEN:action,"你仔细检查了{item_name}的损坏部位，开始动手修复..."
narrative:restore:BROKEN:result,"经过精心修复，物品恢复了原本的完整。"
narrative:restore:DIRTY:action,"你准备好清洁工具，开始为{item_name}去除污垢..."
narrative:restore:DIRTY:result,"污垢被彻底清除，物品焕然一新。"
narrative:restore:RUSTED:action,"你取出除锈剂和抛光布，开始处理{item_name}的锈蚀..."
narrative:restore:RUSTED:result,"锈迹被完全清除，金属重新散发光泽。"
narrative:restore:_default:action,"你开始修复{item_name}..."
narrative:restore:_default:result,"修复完成。"
narrative:reforge:FAKE_HISTORY:action,"你开始为{item_name}进行做旧处理，模拟时间的痕迹..."
narrative:reforge:FAKE_HISTORY:result,"物品现在看起来像是一件真正的古董了。"
narrative:reforge:ART_ENHANCED:action,"你对{item_name}进行艺术再创作，注入新的灵魂..."
narrative:reforge:ART_ENHANCED:result,"艺术升华完成，物品被赋予了全新的艺术灵魂。"
narrative:reforge:IMPERIAL:action,"你开始为{item_name}编造一个与皇室相关的故事..."
narrative:reforge:IMPERIAL:result,"一个惊人的"宫廷来历"被创造出来了。这是一把双刃剑。"
narrative:reforge:_default:action,"你开始为{item_name}注入新的故事..."
narrative:reforge:_default:result,"物品被赋予了新的"身份"。"
moral:active,"...这件物品的主人还在等着它。当他赎回时，会看到一个不一样的{item_name}。"
block:NO_ENERGY,"精力不足"
block:NO_ESSENCE,"精魄不足"
block:MISSING_TAG,"物品没有该状态"
block:MISSING_REQUIRED,"缺少前置条件"
block:HAS_EXCLUDED,"物品已有冲突标签"
block:WRONG_CATEGORY,"物品类别不匹配"
block:ALREADY_RESTORED,"已选择修复路线，不可重铸"
block:ALREADY_REFORGED,"已选择重铸路线，不可修复"
block:ITEM_ACTIVE,"物品仍在典当中"
block:ITEM_REDEEMED,"物品已被赎回"
block:ITEM_SOLD,"物品已售出"
block:_default,"无法操作"
violation:related,"这件{item_name}的主人还在等着它...你脑海中浮现出他的脸。"
violation:generic,"这件物品对某人来说可能意义非凡..."
